소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
상수도사업본부,북부사업소 청사,Y,N,전력,5.338,5.162,3.548,2.466,2.206,1.902,2.183,3.082,2.971,2.166,2.2,2.84
상수도사업본부,북부사업소 경유차량,Y,N,가스/디젤 오일(경유),0.809,0.398,0.372,0.318,0.239,0.133,0.133,0.133,0.106,0.244,0.106,0.361
상수도사업본부,해운대사업소 청사,Y,N,전력,3.663,3.2,2.407,2.069,1.667,1.711,1.968,2.197,1.781,1.613,2.084,2.917
상수도사업본부,해운대사업소 경유차량,Y,N,가스/디젤 오일(경유),0.239,0.106,0.08,0.133,0.167,0.239,,0,0.133,0,0.17,0.239
상수도사업본부,사하사업소 청사,Y,N,전력,6.319,6.21,4.47,3.275,2.362,2.137,2.202,3.442,2.804,2.069,2.173,3.561
상수도사업본부,사하사업소 경유차량,Y,N,가스/디젤 오일(경유),0,0.425,0.141,0.08,0,0.08,0,0.106,0,0.106,0.074,0.348
상수도사업본부,금정사업소 경유차량,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,기장사업소 경유차량,Y,N,가스/디젤 오일(경유),0.637,0.743,0.878,1.035,0.531,0.743,0.955,0.849,0.531,0.849,0.849,1.138
상수도사업본부,상수도사업본부 청사,Y,N,도시가스(LNG),14.628,9.503,5.64,2.559,2.192,2.542,2.446,2.374,1.91,2.481,4.038,8.812
상수도사업본부,상수도사업본부 청사,Y,N,전력,84.472,70.447,66.585,58.324,58.87,72.572,93.014,92.444,73.631,64.989,64.691,85.125
상수도사업본부,상수도본부청사 경유차량,Y,N,가스/디젤 오일(경유),0.515,0.894,0.793,0.807,0.645,0.584,0.982,0.857,0.491,1.619,0.801,1.138
상수도사업본부,상수도본부청사 휘발유차량,Y,N,휘발유,0.187,0.152,0.266,0.229,0.345,0.317,,0.24,0.2,0.222,0.299,0.347
상수도사업본부,수질연구소 LPG차량,Y,N,LPG(차량),0,0,0,0,0,0,0,0,0,0,0,0
